movie_id,movie_title,release_year,director,actor
67,Palnati Brahma Naidu,2003,B. Gopal,"nandamuri_balakrishna, Sneha, Tabu, Sai Kumar, kota_srinivasa_rao"
68,Lakshmi Narasimha,2004,Jayanth C. Paranjee,"nandamuri_balakrishna, Asin, Arjun, Pradeep Rawat, Mukesh Rishi"
69,Allari Pidugu,2005,Jayanth C. Paranjee,"nandamuri_balakrishna, Katrina Kaif, Charmy Kaur, Mukesh Rishi, Pradeep Rawat"
70,Jai Simha,2018,K. S. Ravi Kumar,"nandamuri_balakrishna, nayanthara, Haripriya, Natasha Doshi"
71,Sri Rama Rajyam,2011,Bapu,"nandamuri_balakrishna, nayanthara, Akkineni Nageswara Rao, srikanth,brahmanandham"
72,N. T. R. Katha nayakudu,2019,Krish Jagarlamudi,"nandamuri_balakrishna, Vidya Balan, rana_daggubati, sumanth"
73,N. T. R. Mahanayakudu,2019,Krish Jagarlamudi,"nandamuri_balakrishna, Vidya Balan, rana_daggubati, Sachin Khedekar"
74,Vikram,1986,V. Madhusudhana Rao,"nagarjuna_akkineni, Amala, satyanarayana, Khushbu"
75,Majnu,1987,Dasari Narayana Rao,"nagarjuna_akkineni, Rajani, Moon Moon Sen, suhasini"
76,Geetanjali,1989,Mani Ratnam,"nagarjuna_akkineni, Girija Shettar, Vijayakumar, suhasini"
77,Siva,1989,Ram Gopal Varma,"nagarjuna_akkineni, Amala, Raghuvaran, Charuhasan"
78,Allari Alludu,1993,A. Kodandarami Reddy,"nagarjuna_akkineni, Meena, Nagma, Vani Viswanath, kota_srinivasa_rao"
79,Hello Brother,1994,E. V. V. satyanarayana,"nagarjuna_akkineni, ramya_krishnan, soundarya, kota_srinivasa_rao,brahmanandham"
80,Ninne Pelladata,1996,Krishna Vamsi,"nagarjuna_akkineni, Tabu, prakash_raj, Sharat Saxena, Tanikella Bharani"
81,Sivamani,2003,Puri Jagannadh,"nagarjuna_akkineni, Seema, Asin, Raghuvaran, prakash_raj"
82,King,2008,Sreenu Vaitla,"nagarjuna_akkineni, trisha_krishnan, Mamta Mohandas, Srihari,brahmanandham"
83,Manam,2014,Vikram K Kumar,"nagarjuna_akkineni, shriya_saran, naga_chaitanya_akkineni, samantha_ruth_prabhu, Akkineni Nageswara Rao"
